,SAPClient,CompanyCode,CompanyCodeName,PostingDate,DocumentType,DocumentTypeName,SourceTable,DELETE_DF_DI,UPDATE_DF_TS,Amount,CreditAmount,ProcessingTime
97,100,1024,Pennsylvania-American Wat,20210802,ML,Mellon Lock Box,DFKKZK,,20210803171128,1925459.20,0.00,2021-08-04 04:05:47.512
98,100,1028,West Virginia-American Wa,20210803,PE,Paymentus Echeck,DFKKZK,,20210803175547,81853.68,0.00,2021-08-04 04:05:47.512
99,100,1013,Maryland-American Water C,20210803,MR,Mellon ARC,DFKKZK,,20210803180319,3235.24,0.00,2021-08-04 04:05:47.512
100,100,1011,Iowa-American Water Compa,20210803,MP,Manual Payment,DFKKZK,,20210803172322,55.65,55.65,2021-08-04 04:05:47.512
101,100,1027,Virginia-American Water C,20210803,ML,Mellon Lock Box,DFKKZK,,20210803180334,33030.15,0.00,2021-08-04 04:05:47.512
102,100,1010,Indiana-American Water Co,20210803,PE,Paymentus Echeck,DFKKZK,,20210803172805,116188.58,0.00,2021-08-04 04:05:47.512
103,100,1030,Hawaii-American Water Co.,20210803,PE,Paymentus Echeck,DFKKZK,,20210803175547,2773.33,0.00,2021-08-04 04:05:47.512
104,100,1025,Illinois-American Water C,20210803,PE,Paymentus Echeck,DFKKZK,,20210803175154,135521.18,0.00,2021-08-04 04:05:47.512
105,100,1017,Missouri-American Water C,20210803,PG,Paymentus EC No Fee,DFKKZK,,20210803173539,138661.95,0.00,2021-08-04 04:05:47.512
106,100,1028,West Virginia-American Wa,20210803,ML,Mellon Lock Box,DFKKZK,,20210803180435,77120.85,0.00,2021-08-04 04:05:47.512
107,100,1013,Maryland-American Water C,20210803,MA,Mellon ACH,DFKKZK,,20210803180319,4212.15,0.00,2021-08-04 04:05:47.512
108,100,1028,West Virginia-American Wa,20210803,PH,Paymentus Check,DFKKZK,,20210803175333,14667.16,0.00,2021-08-04 04:05:47.512
109,100,1024,Pennsylvania-American Wat,20210803,PF,Paymentus CC No Fee,DFKKZK,,20210803174332,376459.03,0.00,2021-08-04 04:05:47.512
110,100,1028,West Virginia-American Wa,20210803,MP,Manual Payment,DFKKZK,,20210803170433,1121.73,1121.73,2021-08-04 04:05:47.512
111,100,1025,Illinois-American Water C,20210803,ML,Mellon Lock Box,DFKKZK,,20210803170936,1280.07,0.00,2021-08-04 04:05:47.512
112,100,1015,California-American Water,20210803,PF,Paymentus CC No Fee,DFKKZK,,20210803173051,131131.83,0.00,2021-08-04 04:05:47.512
113,100,1017,Missouri-American Water C,20210803,ML,Mellon Lock Box,DFKKZK,,20210803170936,7691.79,0.00,2021-08-04 04:05:47.512
114,100,1024,Pennsylvania-American Wat,20210803,PG,Paymentus EC No Fee,DFKKZK,,20210803174736,376063.17,0.00,2021-08-04 04:05:47.512
115,100,1025,Illinois-American Water C,20210803,PD,Paymentus CreditCard,DFKKZK,,20210803175015,176231.85,0.00,2021-08-04 04:05:47.512
116,100,1013,Maryland-American Water C,20210803,PE,Paymentus Echeck,DFKKZK,,20210803173003,1497.39,0.00,2021-08-04 04:05:47.512
117,100,1011,Iowa-American Water Compa,20210803,PD,Paymentus CreditCard,DFKKZK,,20210803172825,24698.41,0.00,2021-08-04 04:05:47.512
118,100,1017,Missouri-American Water C,20210803,PF,Paymentus CC No Fee,DFKKZK,,20210803173356,206300.33,0.00,2021-08-04 04:05:47.512
119,100,1012,Kentucky-American Water C,20210803,ML,Mellon Lock Box,DFKKZK,,20210803180319,18.17,0.00,2021-08-04 04:05:47.512
120,100,1028,West Virginia-American Wa,20210803,MR,Mellon ARC,DFKKZK,,20210803180435,75717.13,0.00,2021-08-04 04:05:47.512
121,100,1018,New Jersey-American Water,20210803,PD,Paymentus CreditCard,DFKKZK,,20210803173702,202203.84,0.00,2021-08-04 04:05:47.512
122,100,1012,Kentucky-American Water C,20210803,PD,Paymentus CreditCard,DFKKZK,,20210803172931,54537.71,0.00,2021-08-04 04:05:47.512
123,100,1038,New York American Water C,20210803,PE,Paymentus Echeck,DFKKZK,,20210803175653,102599.25,0.00,2021-08-04 04:05:47.512
124,100,1026,Tennessee-American Water,20210803,PE,Paymentus Echeck,DFKKZK,,20210803175300,39959.23,0.00,2021-08-04 04:05:47.512
125,100,1018,New Jersey-American Water,20210802,MA,Mellon ACH,DFKKZK,,20210803175653,1206855.97,0.00,2021-08-04 04:05:47.512
126,100,1013,Maryland-American Water C,20210803,PD,Paymentus CreditCard,DFKKZK,,20210803173003,1755.99,0.00,2021-08-04 04:05:47.512
127,100,1028,West Virginia-American Wa,20210803,PD,Paymentus CreditCard,DFKKZK,,20210803175459,132041.68,0.00,2021-08-04 04:05:47.512
128,100,1017,Missouri-American Water C,20210803,MR,Mellon ARC,DFKKZK,,20210803170936,75.39,0.00,2021-08-04 04:05:47.512
129,100,1010,Indiana-American Water Co,20210803,ML,Mellon Lock Box,DFKKZK,,20210803170920,482.71,0.00,2021-08-04 04:05:47.512
130,100,1027,Virginia-American Water C,20210803,PE,Paymentus Echeck,DFKKZK,,20210803175333,26803.33,0.00,2021-08-04 04:05:47.512
131,100,1027,Virginia-American Water C,20210803,MR,Mellon ARC,DFKKZK,,20210803180349,22407.46,0.00,2021-08-04 04:05:47.512
132,100,1010,Indiana-American Water Co,20210803,PD,Paymentus CreditCard,DFKKZK,,20210803172609,167603.29,0.00,2021-08-04 04:05:47.512
133,100,1030,Hawaii-American Water Co.,20210803,PD,Paymentus CreditCard,DFKKZK,,20210803175547,2152.02,0.00,2021-08-04 04:05:47.512
134,100,1012,Kentucky-American Water C,20210803,PA,Paymentus Cash,DFKKZK,,20210803172826,1212.00,0.00,2021-08-04 04:05:47.512
135,100,1010,Indiana-American Water Co,20210803,MP,Manual Payment,DFKKZK,,20210803173212,243.69,303.69,2021-08-04 04:05:47.512
136,100,1038,New York American Water C,20210803,PD,Paymentus CreditCard,DFKKZK,,20210803175604,45365.69,0.00,2021-08-04 04:05:47.512
137,100,1026,Tennessee-American Water,20210803,PD,Paymentus CreditCard,DFKKZK,,20210803175244,39004.09,0.00,2021-08-04 04:05:47.512
138,100,1015,California-American Water,20210803,PG,Paymentus EC No Fee,DFKKZK,,20210803173123,80101.08,0.00,2021-08-04 04:05:47.512
139,100,1012,Kentucky-American Water C,20210803,PH,Paymentus Check,DFKKZK,,20210803172826,122.07,0.00,2021-08-04 04:05:47.512
140,100,1027,Virginia-American Water C,20210803,MA,Mellon ACH,DFKKZK,,20210803180420,43529.59,0.00,2021-08-04 04:05:47.512
141,100,1013,Maryland-American Water C,20210803,ML,Mellon Lock Box,DFKKZK,,20210803180319,491.84,0.00,2021-08-04 04:05:47.512
142,100,1011,Iowa-American Water Compa,20210803,PE,Paymentus Echeck,DFKKZK,,20210803172825,20793.23,0.00,2021-08-04 04:05:47.512
143,100,1027,Virginia-American Water C,20210803,PD,Paymentus CreditCard,DFKKZK,,20210803175317,25467.89,0.00,2021-08-04 04:05:47.512
144,100,1015,California-American Water,20210803,MA,Mellon ACH,DFKKZK,,20210803172656,360930.37,0.00,2021-08-04 04:05:47.512
145,100,1018,New Jersey-American Water,20210803,PE,Paymentus Echeck,DFKKZK,,20210803173925,370064.95,0.00,2021-08-04 04:05:47.512
146,100,1012,Kentucky-American Water C,20210803,PE,Paymentus Echeck,DFKKZK,,20210803173003,50159.96,0.00,2021-08-04 04:05:47.512
147,100,1028,West Virginia-American Wa,20210803,ML,Mellon Lock Box,DFKKZK,,20210803180435,77120.85,0.00,2021-08-04 04:05:47.512
148,100,1018,New Jersey-American Water,20210803,MA,Mellon ACH,DFKKZK,,20210803181635,1215311.14,0.00,2021-08-04 04:05:47.512
149,100,1028,West Virginia-American Wa,20210803,MR,Mellon ARC,DFKKZK,,20210803180524,75717.13,0.00,2021-08-04 04:05:47.512
150,100,1024,Pennsylvania-American Wat,20210803,MA,Mellon ACH,DFKKZK,,20210803181329,792478.54,0.00,2021-08-04 04:05:47.512
151,100,1038,New York American Water C,20210803,MA,Mellon ACH,DFKKZK,,20210803181550,283266.03,0.00,2021-08-04 04:05:47.512
152,100,1010,Indiana-American Water Co,20210803,MP,Manual Payment,DFKKZK,,20210803182943,304.54,364.54,2021-08-04 04:05:47.512
153,100,1024,Pennsylvania-American Wat,20210803,ML,Mellon Lock Box,DFKKZK,,20210803180659,905582.92,0.00,2021-08-04 04:05:47.512
154,100,1028,West Virginia-American Wa,20210803,MA,Mellon ACH,DFKKZK,,20210803180612,115950.39,0.00,2021-08-04 04:05:47.512
155,100,1024,Pennsylvania-American Wat,20210803,MP,Manual Payment,DFKKZK,,20210803184150,11555.76,11555.76,2021-08-04 04:05:47.512
156,100,1018,New Jersey-American Water,20210803,MA,Mellon ACH,DFKKZK,,20210803192557,1215311.14,0.00,2021-08-04 04:05:47.512
157,100,1024,Pennsylvania-American Wat,20210803,MA,Mellon ACH,DFKKZK,,20210803191707,792478.54,0.00,2021-08-04 04:05:47.512
158,100,1018,New Jersey-American Water,20210802,MA,Mellon ACH,DFKKZK,,20210803191827,1206855.97,0.00,2021-08-04 04:05:47.512
159,100,1024,Pennsylvania-American Wat,20210803,MP,Manual Payment,DFKKZK,,20210803184150,11555.76,11555.76,2021-08-04 04:05:47.512
160,100,1017,Missouri-American Water C,20210802,DL,DELUXE Lockbox paper,DFKKZK,,20210804010443,1752522.49,0.00,2021-08-04 04:05:47.512
161,100,1018,New Jersey-American Water,20210803,MA,Mellon ACH,DFKKZK,,20210803192557,1215311.14,0.00,2021-08-04 04:05:47.512
162,100,1010,Indiana-American Water Co,20210802,UA,USBank ACH,DFKKZK,,20210804001245,139626.49,0.00,2021-08-04 04:05:47.512
163,100,1011,Iowa-American Water Compa,20210803,ML,Mellon Lock Box,DFKKZK,,20210804014057,2211.26,0.00,2021-08-04 04:05:47.512
164,100,1024,Pennsylvania-American Wat,20210802,ML,Mellon Lock Box,DFKKZK,,20210804014042,1925459.20,0.00,2021-08-04 04:05:47.512
165,100,1011,Iowa-American Water Compa,20210803,UA,USBank ACH,DFKKZK,,20210804014042,1367.40,0.00,2021-08-04 04:05:47.512
166,100,1017,Missouri-American Water C,20210802,DL,DELUXE Lockbox paper,DFKKZK,,20210804020308,1752522.49,0.00,2021-08-04 04:05:47.512
167,100,1010,Indiana-American Water Co,20210802,ML,Mellon Lock Box,DFKKZK,,20210804014042,8550.75,0.00,2021-08-04 04:05:47.512
168,100,1027,Virginia-American Water C,20210803,ML,Mellon Lock Box,DFKKZK,,20210804014057,33030.15,0.00,2021-08-04 04:05:47.512
169,100,1026,Tennessee-American Water,20210803,DL,DELUXE Lockbox paper,DFKKZK,,20210804014042,50044.73,0.00,2021-08-04 04:05:47.512
170,100,1012,Kentucky-American Water C,20210803,DL,DELUXE Lockbox paper,DFKKZK,,20210804014042,28426.32,0.00,2021-08-04 04:05:47.512
171,100,1028,West Virginia-American Wa,20210803,ML,Mellon Lock Box,DFKKZK,,20210804014057,77120.85,0.00,2021-08-04 04:05:47.512
172,100,1017,Missouri-American Water C,20210802,ML,Mellon Lock Box,DFKKZK,,20210804014057,4129.34,0.00,2021-08-04 04:05:47.512
173,100,1025,Illinois-American Water C,20210803,ML,Mellon Lock Box,DFKKZK,,20210804014057,1280.07,0.00,2021-08-04 04:05:47.512
174,100,1025,Illinois-American Water C,20210803,UA,USBank ACH,DFKKZK,,20210804014042,58700.99,0.00,2021-08-04 04:05:47.512
175,100,1017,Missouri-American Water C,20210803,ML,Mellon Lock Box,DFKKZK,,20210804014057,7691.79,0.00,2021-08-04 04:05:47.512
176,100,1024,Pennsylvania-American Wat,20210802,MA,Mellon ACH,DFKKZK,,20210804014057,859768.20,0.00,2021-08-04 04:05:47.512
177,100,1010,Indiana-American Water Co,20210803,DL,DELUXE Lockbox paper,DFKKZK,,20210804014042,66810.07,0.00,2021-08-04 04:05:47.512
178,100,1025,Illinois-American Water C,20210803,DL,DELUXE Lockbox paper,DFKKZK,,20210804014042,44058.97,0.00,2021-08-04 04:05:47.512
179,100,1018,New Jersey-American Water,20210803,MA,Mellon ACH,DFKKZK,,20210804014057,1215311.14,0.00,2021-08-04 04:05:47.512
180,100,1018,New Jersey-American Water,20210803,ML,Mellon Lock Box,DFKKZK,,20210804014057,1759964.40,0.00,2021-08-04 04:05:47.512
181,100,1024,Pennsylvania-American Wat,20210803,MA,Mellon ACH,DFKKZK,,20210804014057,792478.54,0.00,2021-08-04 04:05:47.512
182,100,1018,New Jersey-American Water,20210802,MA,Mellon ACH,DFKKZK,,20210804014057,1206855.97,0.00,2021-08-04 04:05:47.512
183,100,1010,Indiana-American Water Co,20210803,ML,Mellon Lock Box,DFKKZK,,20210804014057,482.71,0.00,2021-08-04 04:05:47.512
184,100,1030,Hawaii-American Water Co.,20210803,ML,Mellon Lock Box,DFKKZK,,20210804014057,20454.96,0.00,2021-08-04 04:05:47.512
185,100,1025,Illinois-American Water C,20210803,UE,USBank E Lockbox,DFKKZK,,20210804014042,278151.45,0.00,2021-08-04 04:05:47.512
186,100,1017,Missouri-American Water C,20210803,UE,USBank E Lockbox,DFKKZK,,20210804014042,454201.13,0.00,2021-08-04 04:05:47.512
187,100,1038,New York American Water C,20210803,MA,Mellon ACH,DFKKZK,,20210804014057,283266.03,0.00,2021-08-04 04:05:47.512
188,100,1010,Indiana-American Water Co,20210802,UA,USBank ACH,DFKKZK,,20210804014042,139626.49,0.00,2021-08-04 04:05:47.512
189,100,1017,Missouri-American Water C,20210803,DL,DELUXE Lockbox paper,DFKKZK,,20210804014042,447054.51,0.00,2021-08-04 04:05:47.512
190,100,1024,Pennsylvania-American Wat,20210803,ML,Mellon Lock Box,DFKKZK,,20210804014057,905582.92,0.00,2021-08-04 04:05:47.512
191,100,1013,Maryland-American Water C,20210803,ML,Mellon Lock Box,DFKKZK,,20210804014057,491.84,0.00,2021-08-04 04:05:47.512
192,100,1028,West Virginia-American Wa,20210803,MA,Mellon ACH,DFKKZK,,20210804014057,115950.39,0.00,2021-08-04 04:05:47.512
193,100,1010,Indiana-American Water Co,20210803,UE,USBank E Lockbox,DFKKZK,,20210804014042,194191.77,0.00,2021-08-04 04:05:47.512
194,100,1010,Indiana-American Water Co,20210803,UA,USBank ACH,DFKKZK,,20210804014042,173667.94,0.00,2021-08-04 04:05:47.512
195,100,1017,Missouri-American Water C,20210802,DL,DELUXE Lockbox paper,DFKKZK,,20210804022943,1752522.49,0.00,2021-08-04 04:05:47.512
196,100,1010,Indiana-American Water Co,20210802,DL,DELUXE Lockbox paper,DFKKZK,,20210804024700,895516.60,0.00,2021-08-04 04:05:47.512
